2018-09-23 22:25:09,741 | FATAL | [Timer] | com.abcib.gls.intf.feed.notify.InFeedNotifier:runTask(38) | 1_Input_Transactions.txt file picked for processing. 
2018-09-23 22:25:09,743 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.FeedNotificationHandler:run(43) | Processing started for feed file: 1_Input_Transactions.txt 
2018-09-23 22:25:09,743 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.FeedNotificationHandler:processFeed(51) | Entering processOnlineTransactions() for feed processing for file: 1_Input_Transactions.txt 
2018-09-23 22:25:10,116 | DEBUG | [GLSThread-323092018] | com.abcib.gls.intf.feed.handler.RequestFeedHandler:handleTransactions(39) | Entering handleTransactions() for [TransactionDO [transactionSeq=null, transactionId=1, instrumentName=IBM, transactionType=B, transactionQuantity=1000], TransactionDO [transactionSeq=null, transactionId=2, instrumentName=APPL, transactionType=S, transactionQuantity=200], TransactionDO [transactionSeq=null, transactionId=3, instrumentName=AMZN, transactionType=S, transactionQuantity=5000], TransactionDO [transactionSeq=null, transactionId=4, instrumentName=MSFT, transactionType=B, transactionQuantity=50], TransactionDO [transactionSeq=null, transactionId=5, instrumentName=APPL, transactionType=B, transactionQuantity=100], TransactionDO [transactionSeq=null, transactionId=6, instrumentName=APPL, transactionType=S, transactionQuantity=20000], TransactionDO [transactionSeq=null, transactionId=7, instrumentName=AMZN, transactionType=S, transactionQuantity=5000], TransactionDO [transactionSeq=null, transactionId=8, instrumentName=MSFT, transactionType=S, transactionQuantity=300], TransactionDO [transactionSeq=null, transactionId=9, instrumentName=AMZN, transactionType=B, transactionQuantity=200], TransactionDO [transactionSeq=null, transactionId=10, instrumentName=APPL, transactionType=B, transactionQuantity=9000], TransactionDO [transactionSeq=null, transactionId=11, instrumentName=AMZN, transactionType=S, transactionQuantity=5000], TransactionDO [transactionSeq=null, transactionId=12, instrumentName=AMZN, transactionType=S, transactionQuantity=50]] 
2018-09-23 22:25:10,180 | DEBUG | [GLSThread-323092018] | com.abcib.gls.validator.TransactionValidator:validateOnlineTransactions(24) | Online Transaction Validation completed successfully. 
2018-09-23 22:25:10,181 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(32) | Entering processTransaction() for TransactionDO [transactionSeq=12131214, transactionId=1, instrumentName=IBM, transactionType=B, transactionQuantity=1000] 
2018-09-23 22:25:10,252 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(39) | Leaving processTransaction() 
2018-09-23 22:25:10,253 | DEBUG | [GLSThread-323092018] | com.abcib.gls.validator.TransactionValidator:validateOnlineTransactions(24) | Online Transaction Validation completed successfully. 
2018-09-23 22:25:10,253 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(32) | Entering processTransaction() for TransactionDO [transactionSeq=12131214, transactionId=2, instrumentName=APPL, transactionType=S, transactionQuantity=200] 
2018-09-23 22:25:10,334 | DEBUG | [GLSThread-323092018] | com.abcib.gls.processor.OnlineTxnProcessorImpl:processTransaction(39) | Leaving processTransaction() 
2018-09-23 22:25:10,334 | DEBUG | [GLSThread-323092018] | com.abcib.gls.validator.TransactionValidator:validateOnlineTransactions(24) | Online Transaction Validation completed successfully. 
